ID,文構造,語句1,語句2,語句3,語句4,語句5,語句6,以降の文章,正解,日本語訳
422,高校関係副詞,Bill,quit,the company、,but,he,didn't,tell me the reason which I wanted to know.,Bill quit the company、but he didn't tell me the reason which I wanted to know.,ビルは会社を辞めましたが、私が知りたがった理由を教えてくれませんでした。
423,高校関係副詞,We,first,met,in、,when,we,entered the university.,We first met in、when we entered the university.,私たちが初めて会ったのは年で、それは大学に入学した年でした。
424,高校関係副詞,I,want,to,go,NewYork、,where,my best friend lives.,I want to go NewYork、where my best friend lives.,私はニューヨークに行きたいです。そこには親友が住んでいます。
425,高校関係副詞,This,museum,has,some,of,Picasso's paintings、,which were painted in the 20 th century.,This museum has some of Picasso's paintings、which were painted in the 20 th century.,ピカソの絵の何枚かがこの美術館にあり、それは20世紀に描かれたものです。
426,高校複合関係詞,Whoeever,wins、,we,will,be,satisfied,with the game.,Whoeever wins、we will be satisfied with the game.,誰が勝っても、私たちはその試合に満足するでしょう。
427,高校複合関係詞,However,far,away,you,are、,he,will find you.,However far away you are、he will find you.,あなたがどんなに遠く離れていようと、彼はあなたを見つけるでしょう。
428,高校複合関係詞,No,matter,what,anyone,says、,she,has great talent.,No matter what anyone says、she has great talent.,誰が何と言おうと、彼女には素晴らしい才能があります
429,高校複合関係詞,Whatever,happenes,I,will,go,with,you,. Whatever happenes I will go with you.,何が起こっても、私はあなたと一緒に行きます。
430,高校接続詞,They,strongly,believed,that,they,could,change the world.,They strongly believed that they could change the world.,彼らは自分たちが世界を変えられると強く信じていました。
431,高校接続詞,I'm,sure,that,you,will,feel,better tomorrow.,I'm sure that you will feel better tomorrow.,明日にははあなたの体調は良くなっていると思います。
432,高校接続詞,I,heared,the,news,that,the,actor would cone to Japan.,I heared the news that the actor would cone to Japan.,私はその俳優が来日するというニュースを聞きました。
433,高校接続詞,Did,you,know,that,she,had,gotten married?,Did you know that she had gotten married?,彼女が結婚したことを知っていましたか？
434,高校接続詞,I,will,call,you,back,when,I get home.,I will call you back when I get home.,家に帰ったら電話をかけなおします。
435,高校接続詞,He,sais,something,while,he,was,sleeping.,He sais something while he was sleeping.,彼は寝ている間に何か言いました。
436,高校接続詞,If,you,come,early、,you,can,drink free.,If you come early、 you can drink free.,もし早く来たら、無料のコーヒーが飲めます。
437,高校強調構文,It,is,shrimp,that,she,doesn't,like.,It is shrimp that she doesn't like.,彼女が好きではないのはエビです。
438,高校強調構文,It,isn't,today,that,we,are,supposed to meet.,It isn't today that we are supposed to meet.,私たちが会うことになっているのは今日ではありません。
439,高校強調構文,It,was,Kei,that,went,to,New York.,It was Kei that went to New York.,先週ニューヨークに行ったのはケイです。
440,高校強調構文,It,was, days ago,that,I,lost,my phone.,It was  days ago that I lost my phone.,私が携帯電話をなくしたのは日前です。
441,高校形式主語・形式目的語,It,is,interesting,to,learn,the,differences between Japanese and English.,It is interesting to learn the differences between Japanese and English.,日本語と英語の違いを学ぶのは興味深いです。
442,高校形式主語・形式目的語,It,is,certain,that,he,will,win the tennnis match.,It is certain that he will win the tennnis match.,彼がそのテニスの試合に勝つのは確実です。
443,高校形式主語・形式目的語,I,found,it,impossible,to,finish,my homework in an hour.,I found it impossible to finish my homework in an hour.,一時間で宿題を終えるのは不可能だとわかりました。
444,高校形式主語・形式目的語,Do,you,make,it,a,rule,to wake up early in the morning.,Do you make it a rule to wake up early in the morning.,あなたは朝起きることを習慣にしているのですか？
445,高校時制の一致・話法,He,said,that,he,was,busy,practicing the guiter.,He said that he was busy practicing the guiter.,彼はギターの練習で忙しいといいました。
446,高校時制の一致・話法,They,said,that,they,had,completed,the task.,They said that they had completed the task.,彼らはその仕事を完了したといいました。
447,高校時制の一致・話法,My,father,said,that,he,would,be back before nine.,My father said that he would be back before nine.,彼は時前に帰ってくるといいました。
448,高校疑問詞,I,was,not,sure,which,cup,to use.,I was not sure which cup to use.,どちらのカップを使うべきかわかりませんでした。
449,高校疑問詞,Tell,me,how,to,get,to,the station.,Tell me how to get to the station.,駅までどうやって行くかを教えてください。
450,高校疑問詞,Could,you,tell,me,what,to,do?,Could you tell me what to do ?,何をしたらいいか、教えてくださいますか？
451,高校疑問詞,We,knows,where,to,go,next,month.,We knows where to go next month.,来月どこへ行くべきか私たちは知っています。

